model,family,params_b,strategy,exact_match,numeric_present,median_rel_error
llama-1b,Llama-3,1.0,cot,6.3,25.5,0.916
llama-1b,Llama-3,1.0,few_shot,2.0,5.7,0.917
llama-1b,Llama-3,1.0,structured,5.3,5.7,0.716
llama-1b,Llama-3,1.0,zero_shot,5.7,8.3,0.833
llama-3b,Llama-3,3.0,cot,73.2,79.3,0.0
llama-3b,Llama-3,3.0,few_shot,1.3,5.3,0.933
llama-3b,Llama-3,3.0,structured,9.8,10.0,0.562
llama-3b,Llama-3,3.0,zero_shot,10.8,16.3,0.805
llama-8b,Llama-3,8.0,cot,81.5,85.7,0.0
llama-8b,Llama-3,8.0,few_shot,1.3,7.2,0.925
llama-8b,Llama-3,8.0,structured,9.7,10.5,0.566
llama-8b,Llama-3,8.0,zero_shot,20.7,22.8,0.556
qwen-0.5b,Qwen2.5-Instruct,0.5,cot,26.7,40.8,0.463
qwen-0.5b,Qwen2.5-Instruct,0.5,few_shot,3.8,6.5,0.886
qwen-0.5b,Qwen2.5-Instruct,0.5,structured,2.8,4.8,0.755
qwen-0.5b,Qwen2.5-Instruct,0.5,zero_shot,3.2,5.3,0.933
qwen-1.5b,Qwen2.5-Instruct,1.5,cot,57.7,63.8,0.0
qwen-1.5b,Qwen2.5-Instruct,1.5,few_shot,7.5,11.7,0.793
qwen-1.5b,Qwen2.5-Instruct,1.5,structured,13.0,13.0,0.5
qwen-1.5b,Qwen2.5-Instruct,1.5,zero_shot,3.2,6.8,0.933
qwen-3b,Qwen2.5-Instruct,3.0,cot,72.3,81.8,0.0
qwen-3b,Qwen2.5-Instruct,3.0,few_shot,2.0,7.2,0.944
qwen-3b,Qwen2.5-Instruct,3.0,structured,2.5,5.8,0.568
qwen-3b,Qwen2.5-Instruct,3.0,zero_shot,2.5,4.3,0.95
qwen-7b,Qwen2.5-Instruct,7.0,cot,89.0,91.8,0.0
qwen-7b,Qwen2.5-Instruct,7.0,few_shot,2.3,7.7,0.919
qwen-7b,Qwen2.5-Instruct,7.0,structured,25.2,25.2,0.273
qwen-7b,Qwen2.5-Instruct,7.0,zero_shot,14.7,14.8,0.429
